baseline_width_mm,candidate_width_mm,width_reduction_fraction,break_even_longitudinal_ratio,saving_zero_compensation,saving_moderate_compensation_elasticity_minus_0_35,saving_break_even_elasticity_minus_1
114.0,100.0,0.1228070175438597,1.14,0.1228070175438597,0.08164235301149814,0.0
114.0,95.0,0.16666666666666663,1.2,0.16666666666666663,0.11175618915793828,0.0
114.0,90.0,0.21052631578947367,1.2666666666666666,0.21052631578947367,0.1424302016326967,0.0
114.0,80.0,0.29824561403508776,1.425,0.29824561403508776,0.20563456571081484,0.0
