doi,title,authors,journal,year,volume,issue,pages,publisher,type,doi_url,verification_source,verification_status,access_date
"10.1016/j.jclepro.2011.07.012","A taxonomy of ecodesign tools for integrating environmental requirements into the product design process","M.D. Bovea; V. Pérez-Belis","Journal of Cleaner Production","2012","20","1","61-71","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2011.07.012","https://api.crossref.org/works/10.1016/j.jclepro.2011.07.012","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2016.12.048","The Circular Economy – A new sustainability paradigm?","Martin Geissdoerfer; Paulo Savaget; Nancy M.P. Bocken; Erik Jan Hultink","Journal of Cleaner Production","2017","143","","757-768","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2016.12.048","https://api.crossref.org/works/10.1016/j.jclepro.2016.12.048","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2015.06.066","Design for system innovations and transitions: a conceptual framework integrating insights from sustainablity science and theories of system innovations and transitions","A. Idil Gaziulusoy; Han Brezet","Journal of Cleaner Production","2015","108","","558-568","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2015.06.066","https://api.crossref.org/works/10.1016/j.jclepro.2015.06.066","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2015.01.012","A critical review of approaches available for design and innovation teams through the perspective of sustainability science and system innovation theories","A. Idil Gaziulusoy","Journal of Cleaner Production","2015","107","","366-377","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2015.01.012","https://api.crossref.org/works/10.1016/j.jclepro.2015.01.012","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2015.02.061","New design challenges to widely implement ‘Sustainable Product–Service Systems’","Carlo Vezzoli; Fabrizio Ceschin; Jan Carel Diehl; Cindy Kohtala","Journal of Cleaner Production","2015","97","","1-12","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2015.02.061","https://api.crossref.org/works/10.1016/j.jclepro.2015.02.061","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2014.07.058","Identification and assessment of product's measures to improve resource efficiency: the case-study of an Energy using Product","Fulvio Ardente; Fabrice Mathieux","Journal of Cleaner Production","2014","83","","126-141","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2014.07.058","https://api.crossref.org/works/10.1016/j.jclepro.2014.07.058","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2017.05.198","In search of standards to support circularity in product policies: A systematic approach","Paolo Tecchio; Catriona McAlister; Fabrice Mathieux; Fulvio Ardente","Journal of Cleaner Production","2017","168","","1533-1546","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2017.05.198","https://api.crossref.org/works/10.1016/j.jclepro.2017.05.198","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2013.06.040","Ecodesign maturity model: a management framework to support ecodesign implementation into manufacturing companies","Daniela C.A. Pigosso; Henrique Rozenfeld; Tim C. McAloone","Journal of Cleaner Production","2013","59","","160-173","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2013.06.040","https://api.crossref.org/works/10.1016/j.jclepro.2013.06.040","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2017.04.049","Measuring the implementation of ecodesign management practices: A review and consolidation of process-oriented performance indicators","Vinícius P. Rodrigues; Daniela C.A. Pigosso; Tim C. McAloone","Journal of Cleaner Production","2017","156","","293-309","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2017.04.049","https://api.crossref.org/works/10.1016/j.jclepro.2017.04.049","metadata-verified-crossref","2026-09-24"
"10.1016/j.jclepro.2022.131136","The rebound effect of circular economy: Definitions, mechanisms and a research agenda","Camila Gonçalves Castro; Adriana Hofmann Trevisan; Daniela C.A. Pigosso; Janaina Mascarenhas","Journal of Cleaner Production","2022","345","","131136","Elsevier BV","journal-article","https://doi.org/10.1016/j.jclepro.2022.131136","https://api.crossref.org/works/10.1016/j.jclepro.2022.131136","metadata-verified-crossref","2026-09-24"
