source_id,table_row,basis_weight_lb_per_3000ft2,width_in,sheet_area_ft2,sheets_per_task,total_usage_lb_per_task,value_status,task,participants,conditions,source_location,evidence_strength
pg_patent_us6458450,1,28,4.5,0.25,3.1,0.0072,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,2,28,5.75,0.32,2.6,0.0078,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,3,28,7.0,0.39,1.8,0.0065,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,4,44,4.5,0.25,2.6,0.0095,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,5,44,5.75,0.32,2.0,0.0094,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,6,44,7.0,0.39,1.6,0.0091,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,7,70,4.5,0.25,1.9,0.0111,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,8,70,5.75,0.32,1.8,0.0134,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
pg_patent_us6458450,9,70,7.0,0.39,1.5,0.0136,OBSERVED_FROM_PATENT_TABLE_2,perceived amount necessary for post-urinary drying,two focus groups of eight women each,"two-ply samples; width and basis weight varied; sheet length, softness, texture, and visual appearance reported similar",US6458450B1 Table 2,WEAK_PATENT_REPORTED_NON_POPULATION
