source_id,basis_weight_lb_per_3000ft2,narrow_width_in,wide_width_in,width_ratio,longitudinal_consumption_ratio,break_even_longitudinal_ratio,reported_total_usage_ratio,geometry_implied_area_ratio,rounding_difference_fraction,material_saving_fraction,finite_epsilon_LW,value_status
pg_patent_us6458450,28,4.5,5.75,0.782609,1.192308,1.277778,0.923077,0.931490,-0.008413,0.076923,-0.717562,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,28,4.5,7,0.642857,1.722222,1.555556,1.107692,1.103989,0.003704,-0.107692,-1.230365,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,28,5.75,7,0.821429,1.444444,1.217391,1.200000,1.185185,0.014815,-0.200000,-1.869372,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,44,4.5,5.75,0.782609,1.300000,1.277778,1.010638,1.015625,-0.004987,-0.010638,-1.070340,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,44,4.5,7,0.642857,1.625000,1.555556,1.043956,1.041667,0.002289,-0.043956,-1.098850,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,44,5.75,7,0.821429,1.250000,1.217391,1.032967,1.025641,0.007326,-0.032967,-1.134377,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,70,4.5,5.75,0.782609,1.055556,1.277778,0.828358,0.824653,0.003705,0.171642,-0.220572,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,70,4.5,7,0.642857,1.266667,1.555556,0.816176,0.811966,0.004211,0.183824,-0.535019,CALCULATED_FROM_PATENT_TABLE_2
pg_patent_us6458450,70,5.75,7,0.821429,1.200000,1.217391,0.985294,0.984615,0.000679,0.014706,-0.926853,CALCULATED_FROM_PATENT_TABLE_2
