source_id,source_url,final_url,retrieved_utc,access_date,status,content_type,local_path,size_bytes,sha256,error,usage_note
jclp_01,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/guide-for-authors,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/guide-for-authors,2026-09-24T07:02:01+00:00,2026-09-24,FAILED,,data/raw/jclp_sources/snapshots/2026-09-24/jclp_01.html,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,HTTP Error 403: Forbidden,Persisted public source snapshot; redistribution depends on source terms.
jclp_02,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/open-access-options,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/open-access-options,2026-09-24T07:02:01+00:00,2026-09-24,FAILED,,data/raw/jclp_sources/snapshots/2026-09-24/jclp_02.html,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,HTTP Error 403: Forbidden,Persisted public source snapshot; redistribution depends on source terms.
jclp_03,https://www.elsevier.com/subject/environmental-science/journal-of-cleaner-production-family,https://www.elsevier.com/subject/environmental-science/journal-of-cleaner-production-family,2026-09-24T07:02:01+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_03.html,232990,e2c6cf63b846f091f6a2b6453adc53ba8d926b7ae73b96916156ba368f1f8ba8,,Persisted public source snapshot; redistribution depends on source terms.
jclp_04,https://www.elsevier.com/about/policies-and-standards/generative-ai-policies-for-journals,https://www.elsevier.com/about/policies-and-standards/generative-ai-policies-for-journals,2026-09-24T07:02:05+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_04.html,345825,4a14849893fac961ff8423f4b422f5cabc78701012bcfcc2681ee87d639c29cf,,Persisted public source snapshot; redistribution depends on source terms.
jclp_05,https://www.elsevier.com/about/policies-and-standards/publishing-ethics,https://www.elsevier.com/about/policies-and-standards/publishing-ethics,2026-09-24T07:02:05+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_05.html,307902,107ba1e86507753f40f1de92542b94c99014d8131d5675ead04dcd67eb74372c,,Persisted public source snapshot; redistribution depends on source terms.
jclp_06,https://www.elsevier.com/about/policies-and-standards/research-ethics,https://www.elsevier.com/about/policies-and-standards/research-ethics,2026-09-24T07:02:06+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_06.html,238571,8aef93e45ea391f4caa538d6cef85fdb782e63c51c42dd6ed30bd747ee519492,,Persisted public source snapshot; redistribution depends on source terms.
jclp_07,https://www.elsevier.com/about/policies-and-standards/author/artwork-and-media-instructions/artwork-formats-checklist,https://www.elsevier.com/about/policies-and-standards/author/artwork-and-media-instructions/artwork-formats-checklist,2026-09-24T07:02:07+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_07.html,211462,6d4a1713da133b5a21eabf269ff50f7f3d1e2fe28fa45f597b931415883c5236,,Persisted public source snapshot; redistribution depends on source terms.
jclp_08,https://www.elsevier.com/researcher/author/tools-and-resources/graphical-abstract,https://www.elsevier.com/researcher/author/tools-and-resources/graphical-abstract,2026-09-24T07:02:08+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_08.html,229364,44b3493e90228aa4b63a4f0b788e81d6f1398b5f759f853c827a6eb3c70990ce,,Persisted public source snapshot; redistribution depends on source terms.
jclp_09,https://www.elsevier.com/researcher/author/tools-and-resources/research-data/data-guidelines,https://www.elsevier.com/researcher/author/tools-and-resources/research-data/data-guidelines,2026-09-24T07:02:08+00:00,2026-09-24,200,text/html; charset=utf-8,data/raw/jclp_sources/snapshots/2026-09-24/jclp_09.html,209160,cb59962ed857f02887c4f3256fa2601fa8fdc313ba900eacb7fc9b6b816e58b0,,Persisted public source snapshot; redistribution depends on source terms.
jclp_guide_webfetch_20260924,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/guide-for-authors,https://www.sciencedirect.com/journal/journal-of-cleaner-production/publish/guide-for-authors,2026-09-24T13:11:08+00:00,2026-09-24,200,text/plain,data/raw/jclp_sources/snapshots/2026-09-24/jclp_guide_webfetch_20260924.txt,10143,56f87b406cb5102efd1b14a3f4c845abf2880fd2a3f157d39e80117a68e09daa,"Normalized text returned by authenticated web fetch; response truncated after the authorship-policy section.","Locally persisted verification snapshot; redistribution depends on source terms."
elsevier_policy_webfetch_20260924,"https://www.elsevier.com/about/policies-and-standards/generative-ai-policies-for-journals | https://www.elsevier.com/researcher/author/tools-and-resources/research-data/data-guidelines","https://www.elsevier.com/about/policies-and-standards/generative-ai-policies-for-journals | https://www.elsevier.com/researcher/author/tools-and-resources/research-data/data-guidelines",2026-09-24T13:11:08+00:00,2026-09-24,200,text/plain,data/raw/jclp_sources/snapshots/2026-09-24/elsevier_policy_webfetch_20260924.txt,24925,2bb125f37b240973b009ab9732b513ee97320ae57184ba5a4929fd8856e221a0,"Normalized text returned by authenticated web fetch of official Elsevier policy pages.","Locally persisted verification snapshot; redistribution depends on source terms."
crossref_10.1016/j.jclepro.2011.07.012,https://api.crossref.org/works/10.1016/j.jclepro.2011.07.012,https://api.crossref.org/works/10.1016/j.jclepro.2011.07.012,2026-09-24T07:02:09+00:00,2026-09-24,200,application/json,data/raw/literature_crossref/2026-09-24/crossref_10_1016_j_jclepro_2011_07_012.012,18514,a4a9dd1ab5972bd635d10aaa4d3534f217d88f45ff3ae6fde15d3493e37be477,,Persisted public source snapshot; redistribution depends on source terms.
crossref_10.1016/j.jclepro.2016.12.048,https://api.crossref.org/works/10.1016/j.jclepro.2016.12.048,https://api.crossref.org/works/10.1016/j.jclepro.2016.12.048,2026-09-24T07:02:09+00:00,2026-09-24,200,application/json,data/raw/literature_crossref/2026-09-24/crossref_10_1016_j_jclepro_2016_12_048.048,26375,a36a44ffb7d464c1b4037d36aa9e0bd65301b5aba4cc7adce0c1ca7d9f7a4ecd,,Persisted public source snapshot; redistribution depends on source terms.
