source_id	url	retrieved_at_utc	http_status	content_type	file_path	file_size_bytes	sha256	redistribution_note
charmin_ultra_strong_regular	https://shop.charmin.com/ultra-strong-regular-roll/	2026-09-24T06:30:51Z	200	text/html; charset=UTF-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/charmin_ultra_strong_regular.html	147346	ed620778451cad212095207c3934d231531107bf95e02cb7e7eef8420344af7a	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_us_1102910	https://www.torkglobal.com/us/en/product/toilet-paper/refills/mid-size-rolls/1102910	2026-09-24T06:30:51Z	200	text/html; charset=utf-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_us_1102910.html	687877	cc2046859c15f9e6b9ac5e0ab0be37375b80183d3f73710e531c08e6457c6bf7	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_ie_101408	https://www.torkglobal.com/ie/en/product/toilet-paper/refills/conventional-toilet-paper/101408	2026-09-24T06:30:52Z	200	text/html; charset=utf-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_ie_101408.html	695202	091c23bd5bfa2440afc043282c17f821d20a8baaf83639bc0b426f1b046a1940	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_au_2170329	https://www.torkglobal.com/au/en/product/toilet-paper/refills/conventional-rolls/2170329	2026-09-24T06:30:53Z	200	text/html; charset=utf-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_au_2170329.html	693321	b8f6ea232bdab464781b3226937c1272ce20720cd6211c7898cbf5005211a1dd	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tork_gb_dispenser_557000	https://www.torkglobal.com/gb/en/product/toilet-paper/dispensers/conventional-toilet-paper-dispensers/557000	2026-09-24T06:30:54Z	200	text/html; charset=utf-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/tork_gb_dispenser_557000.html	763314	f0fbc608c582dad11c77bcdfa4e90ad6f1a68749cefecce84643435f393e646c	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
kc_scott_13217	https://www.kcprofessional.com/en-us/products/restroom-and-hygiene/toilet-paper-and-seat-covers/standard-roll/core/scott%C2%AE-standard-roll-toilet-paper-(2-ply-srb)/13217	2026-09-24T06:30:55Z	403	text/html; charset=UTF-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/kc_scott_13217.html	6068	94e54936339aa4a9dd5f1c29ddda852993c3e545dd39b59a6bf4e8ec57c1a723	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
tesco_luxury_297444884	https://www.tesco.com/groceries/en-GB/products/297444884	2026-09-24T06:30:55Z	403	text/html	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/tesco_luxury_297444884.html	415	37eb84c9fe6e0ae86b4672e31e390b44080a474449597f203fe6c32a07477ee9	Copyrighted retailer record; cite URL and extracted facts, do not redistribute snapshot
elleair_single	https://www.elleair.jp/product/detail/toilet_toilet-tissue_single	2026-09-24T06:30:55Z	200	text/html; charset=UTF-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/elleair_single.html	77031	708a0060fb50e515e95d6bf8154861218154cb64064225f2f04877d62e3f4265	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
elleair_double	https://www.elleair.jp/product/detail/toilet_toilet-tissue_double	2026-09-24T06:30:56Z	200	text/html; charset=UTF-8	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/elleair_double.html	77065	f18f1836601c11dae7a872122aff5486d4b2ad7cdb6ed5086d9ef36618f69e4b	Copyrighted product page; cite URL and extracted facts, do not redistribute snapshot
nepia_width_change_release	https://www.nepia.co.jp/company/news_release/news20240326.pdf	2026-09-24T06:30:57Z	200	application/pdf	/home/ubuntu/repos/wip/functional_geometry/data/raw/toilet_paper_sources/snapshots/2026-09-24/nepia_width_change_release.pdf	1595443	66dc5dcacd00a8a340491b84807cf6ab14822b1a40787f50bbd7ee8139673d48	Copyrighted manufacturer release; cite URL and extracted facts, do not redistribute snapshot
